ALGERIA                  |ALGERIA                  |784600.9227
ALGERIA                  |ARGENTINA                |909460.5895
ALGERIA                  |BRAZIL                   |956275.5994
ALGERIA                  |CANADA                   |678475.3950
ALGERIA                  |CHINA                    |713992.9534
ALGERIA                  |EGYPT                    |860120.1343
ALGERIA                  |ETHIOPIA                 |899336.2182
ALGERIA                  |FRANCE                   |261213.8492
ALGERIA                  |GERMANY                  |323089.3395
ALGERIA                  |INDIA                    |770554.4083
ALGERIA                  |INDONESIA                |939818.9350
ALGERIA                  |IRAN                     |861288.0250
ALGERIA                  |IRAQ                     |734741.0200
ALGERIA                  |JAPAN                    |920876.2682
ALGERIA                  |JORDAN                   |805464.7648
ALGERIA                  |KENYA                    |632904.1307
ALGERIA                  |MOROCCO                  |813165.4311
ALGERIA                  |MOZAMBIQUE               |1012191.6173
ALGERIA                  |PERU                     |683043.5627
ALGERIA                  |ROMANIA                  |753909.5424
ALGERIA                  |RUSSIA                   |651588.8963
ALGERIA                  |SAUDI ARABIA             |918008.8630
ALGERIA                  |UNITED KINGDOM           |1062991.2244
ALGERIA                  |UNITED STATES            |749867.3306
ALGERIA                  |VIETNAM                  |710985.0722
ARGENTINA                |ALGERIA                  |793060.2759
ARGENTINA                |ARGENTINA                |423063.8747
ARGENTINA                |BRAZIL                   |959894.4855
ARGENTINA                |CANADA                   |681501.5707
ARGENTINA                |CHINA                    |280728.0315
ARGENTINA                |EGYPT                    |855505.6793
ARGENTINA                |ETHIOPIA                 |742052.6004
ARGENTINA                |FRANCE                   |224565.4569
ARGENTINA                |GERMANY                  |481421.6825
ARGENTINA                |INDIA                    |596889.9080
ARGENTINA                |INDONESIA                |807729.1580
ARGENTINA                |IRAN                     |1065124.9580
ARGENTINA                |IRAQ                     |581510.0236
ARGENTINA                |JAPAN                    |765463.9933
ARGENTINA                |JORDAN                   |751635.8351
ARGENTINA                |KENYA                    |633869.9812
ARGENTINA                |MOROCCO                  |601096.7677
ARGENTINA                |MOZAMBIQUE               |634813.8175
ARGENTINA                |PERU                     |566428.9832
ARGENTINA                |ROMANIA                  |682792.6530
