ALGERIA                  |ALGERIA                  |933805.8156
ALGERIA                  |ARGENTINA                |1026089.0474
ALGERIA                  |BRAZIL                   |807238.4452
ALGERIA                  |CANADA                   |556513.0737
ALGERIA                  |CHINA                    |1049436.9828
ALGERIA                  |EGYPT                    |842762.0344
ALGERIA                  |ETHIOPIA                 |569686.6830
ALGERIA                  |FRANCE                   |509109.4775
ALGERIA                  |GERMANY                  |399560.0324
ALGERIA                  |INDIA                    |906159.0512
ALGERIA                  |INDONESIA                |824934.9915
ALGERIA                  |IRAN                     |756311.0808
ALGERIA                  |IRAQ                     |598132.4518
ALGERIA                  |JAPAN                    |755680.3448
ALGERIA                  |JORDAN                   |577009.4673
ALGERIA                  |KENYA                    |757075.7181
ALGERIA                  |MOROCCO                  |611418.5094
ALGERIA                  |MOZAMBIQUE               |595185.0761
ALGERIA                  |PERU                     |584068.8429
ALGERIA                  |ROMANIA                  |986895.1661
ALGERIA                  |RUSSIA                   |632184.6098
ALGERIA                  |SAUDI ARABIA             |828234.0263
ALGERIA                  |UNITED KINGDOM           |826213.1215
ALGERIA                  |UNITED STATES            |490084.8619
ALGERIA                  |VIETNAM                  |1002713.3197
ARGENTINA                |ALGERIA                  |849215.4740
ARGENTINA                |ARGENTINA                |509624.2222
ARGENTINA                |BRAZIL                   |1103807.7532
ARGENTINA                |CANADA                   |816006.5651
ARGENTINA                |CHINA                    |457175.5890
ARGENTINA                |EGYPT                    |940267.2959
ARGENTINA                |ETHIOPIA                 |866039.5921
ARGENTINA                |FRANCE                   |505637.0382
ARGENTINA                |GERMANY                  |407245.1075
ARGENTINA                |INDIA                    |776547.3363
ARGENTINA                |INDONESIA                |928206.3949
ARGENTINA                |IRAN                     |1091360.2515
ARGENTINA                |IRAQ                     |487795.2134
ARGENTINA                |JAPAN                    |850434.3925
ARGENTINA                |JORDAN                   |580191.7503
ARGENTINA                |KENYA                    |765665.7106
ARGENTINA                |MOROCCO                  |774696.8291
ARGENTINA                |MOZAMBIQUE               |816842.9191
ARGENTINA                |PERU                     |483287.0751
ARGENTINA                |ROMANIA                  |593383.4494
ARGENTINA                |RUSSIA                   |481164.4381
ARGENTINA                |SAUDI ARABIA             |511374.5160
ARGENTINA                |UNITED KINGDOM           |1075706.6581
ARGENTINA                |UNITED STATES            |738385.1186
ARGENTINA                |VIETNAM                  |1021293.3874
BRAZIL                   |ALGERIA                  |356585.5616
BRAZIL                   |ARGENTINA                |269385.6170
BRAZIL                   |BRAZIL                   |81834.9470
BRAZIL                   |CANADA                   |337915.2264
BRAZIL                   |CHINA                    |292351.1374
BRAZIL                   |EGYPT                    |217568.9185
BRAZIL                   |ETHIOPIA                 |221753.1743
BRAZIL                   |FRANCE                   |19620.9024
BRAZIL                   |GERMANY                  |282989.4130
BRAZIL                   |INDIA                    |351016.0464
BRAZIL                   |INDONESIA                |243460.8572
BRAZIL                   |IRAN                     |86092.5870
BRAZIL                   |IRAQ                     |112600.7904
BRAZIL                   |JAPAN                    |194552.8765
BRAZIL                   |JORDAN                   |449527.7243
BRAZIL                   |KENYA                    |131026.0056
BRAZIL                   |MOROCCO                  |198968.3086
BRAZIL                   |MOZAMBIQUE               |191811.4774
BRAZIL                   |PERU                     |159904.8121
BRAZIL                   |ROMANIA                  |340355.5189
BRAZIL                   |RUSSIA                   |313029.7934
BRAZIL                   |SAUDI ARABIA             |150700.7006
BRAZIL                   |UNITED KINGDOM           |162224.0712
BRAZIL                   |UNITED STATES            |10626.2112
BRAZIL                   |VIETNAM                  |339058.8930
CANADA                   |ALGERIA                  |600421.2931
CANADA                   |ARGENTINA                |498580.4558
CANADA                   |BRAZIL                   |863167.0872
CANADA                   |CANADA                   |626766.4517
CANADA                   |CHINA                    |483483.0557
CANADA                   |EGYPT                    |532163.6256
CANADA                   |ETHIOPIA                 |405525.1672
CANADA                   |FRANCE                   |335861.3515
CANADA                   |GERMANY                  |255909.4441
CANADA                   |INDIA                    |509828.7964
CANADA                   |INDONESIA                |446895.6529
CANADA                   |IRAN                     |534878.6228
CANADA                   |IRAQ                     |520133.1268
CANADA                   |JAPAN                    |563284.4602
CANADA                   |JORDAN                   |479928.8247
CANADA                   |KENYA                    |565435.5666
CANADA                   |MOROCCO                  |542469.5670
CANADA                   |MOZAMBIQUE               |595922.2547
CANADA                   |PERU                     |190307.2541
CANADA                   |ROMANIA                  |580448.5399
CANADA                   |RUSSIA                   |414458.3536
CANADA                   |SAUDI ARABIA             |231395.7493
CANADA                   |UNITED KINGDOM           |469739.5254
CANADA                   |UNITED STATES            |174913.8038
CANADA                   |VIETNAM                  |640627.1506
