ALGERIA                  |ALGERIA                  |713998.4251
ALGERIA                  |ARGENTINA                |855497.7047
ALGERIA                  |BRAZIL                   |904888.8154
ALGERIA                  |CANADA                   |533579.3388
ALGERIA                  |CHINA                    |698712.2494
ALGERIA                  |EGYPT                    |756123.2983
ALGERIA                  |ETHIOPIA                 |749107.8317
ALGERIA                  |FRANCE                   |202256.3052
ALGERIA                  |GERMANY                  |321758.5227
ALGERIA                  |INDIA                    |720951.8353
ALGERIA                  |INDONESIA                |845208.1178
ALGERIA                  |IRAN                     |643377.5860
ALGERIA                  |IRAQ                     |703507.2200
ALGERIA                  |JAPAN                    |906858.2162
ALGERIA                  |JORDAN                   |641172.0418
ALGERIA                  |KENYA                    |597109.4935
ALGERIA                  |MOROCCO                  |773629.5903
ALGERIA                  |MOZAMBIQUE               |899257.8212
ALGERIA                  |PERU                     |636160.4585
ALGERIA                  |ROMANIA                  |690248.4812
ALGERIA                  |RUSSIA                   |525236.7431
ALGERIA                  |SAUDI ARABIA             |802335.3506
ALGERIA                  |UNITED KINGDOM           |991290.5140
ALGERIA                  |UNITED STATES            |697645.6844
ALGERIA                  |VIETNAM                  |621061.1114
ARGENTINA                |ALGERIA                  |597986.7154
ARGENTINA                |ARGENTINA                |423063.8747
ARGENTINA                |BRAZIL                   |883632.7263
ARGENTINA                |CANADA                   |681501.5707
ARGENTINA                |CHINA                    |280728.0315
ARGENTINA                |EGYPT                    |803970.3541
ARGENTINA                |ETHIOPIA                 |617944.4170
ARGENTINA                |FRANCE                   |224565.4569
ARGENTINA                |GERMANY                  |437652.4163
ARGENTINA                |INDIA                    |596889.9080
ARGENTINA                |INDONESIA                |730250.4508
ARGENTINA                |IRAN                     |892995.4458
ARGENTINA                |IRAQ                     |542666.4366
ARGENTINA                |JAPAN                    |680078.3881
ARGENTINA                |JORDAN                   |575436.8174
ARGENTINA                |KENYA                    |537573.9730
ARGENTINA                |MOROCCO                  |583054.6477
ARGENTINA                |MOZAMBIQUE               |512281.5607
ARGENTINA                |PERU                     |504247.7652
ARGENTINA                |ROMANIA                  |682792.6530
ARGENTINA                |RUSSIA                   |408605.8094
ARGENTINA                |SAUDI ARABIA             |759922.6650
ARGENTINA                |UNITED KINGDOM           |962616.4348
ARGENTINA                |UNITED STATES            |513350.2495
ARGENTINA                |VIETNAM                  |727359.9221
BRAZIL                   |ALGERIA                  |365802.7348
BRAZIL                   |ARGENTINA                |316363.3126
BRAZIL                   |BRAZIL                   |157479.7568
BRAZIL                   |CANADA                   |335017.9422
BRAZIL                   |CHINA                    |173689.2876
BRAZIL                   |EGYPT                    |265131.2023
BRAZIL                   |ETHIOPIA                 |65094.5808
BRAZIL                   |FRANCE                   |23101.8968
BRAZIL                   |GERMANY                  |247205.9494
BRAZIL                   |INDIA                    |217516.8907
BRAZIL                   |INDONESIA                |172001.6381
BRAZIL                   |IRAN                     |294948.5525
BRAZIL                   |IRAQ                     |182476.1928
BRAZIL                   |JAPAN                    |194954.7327
BRAZIL                   |JORDAN                   |335527.2517
BRAZIL                   |KENYA                    |78256.4484
BRAZIL                   |MOROCCO                  |257476.5737
BRAZIL                   |MOZAMBIQUE               |200969.0262
BRAZIL                   |PERU                     |219033.3183
BRAZIL                   |ROMANIA                  |240699.4753
BRAZIL                   |RUSSIA                   |142849.1074
BRAZIL                   |SAUDI ARABIA             |311002.9108
BRAZIL                   |UNITED KINGDOM           |252785.1790
BRAZIL                   |UNITED STATES            |20141.5680
BRAZIL                   |VIETNAM                  |291331.5582
CANADA                   |ALGERIA                  |572706.2599
CANADA                   |ARGENTINA                |357949.9464
CANADA                   |BRAZIL                   |813554.2714
CANADA                   |CANADA                   |585664.8960
CANADA                   |CHINA                    |502744.7002
CANADA                   |EGYPT                    |665630.3972
CANADA                   |ETHIOPIA                 |391779.3608
CANADA                   |FRANCE                   |103340.9847
CANADA                   |GERMANY                  |231782.7376
CANADA                   |INDIA                    |505019.0454
CANADA                   |INDONESIA                |593007.0427
CANADA                   |IRAN                     |511471.6207
CANADA                   |IRAQ                     |520059.6721
CANADA                   |JAPAN                    |541704.5297
CANADA                   |JORDAN                   |709863.1181
CANADA                   |KENYA                    |468152.0600
CANADA                   |MOROCCO                  |358835.7943
CANADA                   |MOZAMBIQUE               |503841.7847
CANADA                   |PERU                     |399982.2033
CANADA                   |ROMANIA                  |324252.8690
CANADA                   |RUSSIA                   |340617.5967
CANADA                   |SAUDI ARABIA             |283910.1575
CANADA                   |UNITED KINGDOM           |443623.8030
CANADA                   |UNITED STATES            |313271.5626
CANADA                   |VIETNAM                  |310898.2193
CHINA                    |ALGERIA                  |1537597.6358
CHINA                    |ARGENTINA                |1053863.3988
CHINA                    |BRAZIL                   |1836199.1543
CHINA                    |CANADA                   |1028840.9222
CHINA                    |CHINA                    |690895.1601
CHINA                    |EGYPT                    |1248402.1855
CHINA                    |ETHIOPIA                 |934476.9680
CHINA                    |FRANCE                   |672493.7095
CHINA                    |GERMANY                  |855270.2752
CHINA                    |INDIA                    |955264.8653
CHINA                    |INDONESIA                |930881.0900
CHINA                    |IRAN                     |1148075.0926
CHINA                    |IRAQ                     |962428.3991
CHINA                    |JAPAN                    |1101303.1517
CHINA                    |JORDAN                   |839967.3591
CHINA                    |KENYA                    |1316438.8637
CHINA                    |MOROCCO                  |1390093.7324
CHINA                    |MOZAMBIQUE               |1738260.5216
CHINA                    |PERU                     |1239264.3762
CHINA                    |ROMANIA                  |1085616.5110
CHINA                    |RUSSIA                   |1016275.7666
CHINA                    |SAUDI ARABIA             |1348171.5115
CHINA                    |UNITED KINGDOM           |1227749.7745
CHINA                    |UNITED STATES            |740488.6441
CHINA                    |VIETNAM                  |1047693.4125
EGYPT                    |ALGERIA                  |698325.1860
EGYPT                    |ARGENTINA                |1138353.6117
EGYPT                    |BRAZIL                   |1249606.9333
EGYPT                    |CANADA                   |864356.3852
EGYPT                    |CHINA                    |627273.6157
EGYPT                    |EGYPT                    |1055002.8285
EGYPT                    |ETHIOPIA                 |832829.6887
EGYPT                    |FRANCE                   |391434.3913
EGYPT                    |GERMANY                  |675223.9550
EGYPT                    |INDIA                    |799789.2936
EGYPT                    |INDONESIA                |990725.7216
EGYPT                    |IRAN                     |1004502.4970
EGYPT                    |IRAQ                     |401796.8388
EGYPT                    |JAPAN                    |832116.1215
EGYPT                    |JORDAN                   |1312323.8131
EGYPT                    |KENYA                    |898085.7082
EGYPT                    |MOROCCO                  |656937.9432
EGYPT                    |MOZAMBIQUE               |637184.7167
EGYPT                    |PERU                     |563715.7138
EGYPT                    |ROMANIA                  |1119279.2769
EGYPT                    |RUSSIA                   |721553.6546
EGYPT                    |SAUDI ARABIA             |773089.1873
EGYPT                    |UNITED KINGDOM           |955632.3523
EGYPT                    |UNITED STATES            |372271.3934
EGYPT                    |VIETNAM                  |763365.4916
ETHIOPIA                 |ALGERIA                  |760810.8922
ETHIOPIA                 |ARGENTINA                |775781.1032
ETHIOPIA                 |BRAZIL                   |861686.8825
ETHIOPIA                 |CANADA                   |712789.3371
ETHIOPIA                 |CHINA                    |457564.2960
ETHIOPIA                 |EGYPT                    |750287.7125
ETHIOPIA                 |ETHIOPIA                 |772933.3311
ETHIOPIA                 |FRANCE                   |553297.8160
ETHIOPIA                 |GERMANY                  |563867.9236
ETHIOPIA                 |INDIA                    |869244.6951
ETHIOPIA                 |INDONESIA                |354960.0616
ETHIOPIA                 |IRAN                     |822095.8088
ETHIOPIA                 |IRAQ                     |320689.2104
ETHIOPIA                 |JAPAN                    |507432.1211
ETHIOPIA                 |JORDAN                   |598981.3666
ETHIOPIA                 |KENYA                    |684028.8189
ETHIOPIA                 |MOROCCO                  |663881.1352
ETHIOPIA                 |MOZAMBIQUE               |446905.0283
ETHIOPIA                 |PERU                     |460349.7533
ETHIOPIA                 |ROMANIA                  |628863.7184
ETHIOPIA                 |RUSSIA                   |546412.2393
ETHIOPIA                 |SAUDI ARABIA             |627937.4874
ETHIOPIA                 |UNITED KINGDOM           |688678.7877
ETHIOPIA                 |UNITED STATES            |294729.0664
ETHIOPIA                 |VIETNAM                  |755894.7936
FRANCE                   |ALGERIA                  |237667.8241
FRANCE                   |ARGENTINA                |200533.9411
FRANCE                   |BRAZIL                   |379614.8436
FRANCE                   |CANADA                   |61360.6784
FRANCE                   |CHINA                    |19801.1996
FRANCE                   |EGYPT                    |206266.5277
FRANCE                   |ETHIOPIA                 |248585.6956
FRANCE                   |FRANCE                   |24347.0318
FRANCE                   |GERMANY                  |417167.0162
FRANCE                   |INDIA                    |322256.3008
FRANCE                   |INDONESIA                |391422.2924
FRANCE                   |IRAN                     |286317.8023
FRANCE                   |IRAQ                     |103712.0691
FRANCE                   |JAPAN                    |196585.4829
FRANCE                   |JORDAN                   |102140.6330
FRANCE                   |KENYA                    |105430.8866
FRANCE                   |MOROCCO                  |391605.8591
FRANCE                   |MOZAMBIQUE               |325539.9598
FRANCE                   |PERU                     |54319.6896
FRANCE                   |ROMANIA                  |176872.4897
FRANCE                   |RUSSIA                   |66625.4610
FRANCE                   |SAUDI ARABIA             |391610.3046
FRANCE                   |UNITED KINGDOM           |208037.9861
FRANCE                   |UNITED STATES            |129671.3432
FRANCE                   |VIETNAM                  |119706.3122
GERMANY                  |ALGERIA                  |1116314.7788
GERMANY                  |ARGENTINA                |793829.2937
GERMANY                  |BRAZIL                   |1034392.6458
GERMANY                  |CANADA                   |813385.3521
GERMANY                  |CHINA                    |937055.4953
GERMANY                  |EGYPT                    |879955.5388
GERMANY                  |ETHIOPIA                 |595731.9110
GERMANY                  |FRANCE                   |544510.8338
GERMANY                  |GERMANY                  |711760.9316
GERMANY                  |INDIA                    |798518.7050
GERMANY                  |INDONESIA                |599396.0687
GERMANY                  |IRAN                     |965666.7707
GERMANY                  |IRAQ                     |837286.1737
GERMANY                  |JAPAN                    |1077056.0133
GERMANY                  |JORDAN                   |1125311.9567
GERMANY                  |KENYA                    |848902.9340
GERMANY                  |MOROCCO                  |986231.4572
GERMANY                  |MOZAMBIQUE               |831273.1952
GERMANY                  |PERU                     |608652.3133
GERMANY                  |ROMANIA                  |1082841.2451
GERMANY                  |RUSSIA                   |631030.6720
GERMANY                  |SAUDI ARABIA             |968312.3130
GERMANY                  |UNITED KINGDOM           |1333254.3065
GERMANY                  |UNITED STATES            |524050.3403
GERMANY                  |VIETNAM                  |723448.5839
INDIA                    |ALGERIA                  |1551152.1413
INDIA                    |ARGENTINA                |853701.5199
INDIA                    |BRAZIL                   |1592735.9970
INDIA                    |CANADA                   |842745.8232
INDIA                    |CHINA                    |976891.7622
INDIA                    |EGYPT                    |1080115.5587
INDIA                    |ETHIOPIA                 |876284.3823
INDIA                    |FRANCE                   |402495.2902
INDIA                    |GERMANY                  |760937.0569
INDIA                    |INDIA                    |1023825.2473
INDIA                    |INDONESIA                |748590.0456
INDIA                    |IRAN                     |1848383.0852
INDIA                    |IRAQ                     |691816.1239
INDIA                    |JAPAN                    |800347.3305
INDIA                    |JORDAN                   |1050847.5200
INDIA                    |KENYA                    |877210.1447
INDIA                    |MOROCCO                  |1582101.4869
INDIA                    |MOZAMBIQUE               |1093191.5028
INDIA                    |PERU                     |1146411.0593
INDIA                    |ROMANIA                  |1227883.6777
INDIA                    |RUSSIA                   |996861.3498
INDIA                    |SAUDI ARABIA             |1236906.7250
INDIA                    |UNITED KINGDOM           |1208710.5042
INDIA                    |UNITED STATES            |635337.4074
INDIA                    |VIETNAM                  |1508107.9062
INDONESIA                |ALGERIA                  |1189645.0831
INDONESIA                |ARGENTINA                |949508.2107
INDONESIA                |BRAZIL                   |1028285.8472
INDONESIA                |CANADA                   |880919.3130
INDONESIA                |CHINA                    |612510.7646
INDONESIA                |EGYPT                    |1073628.7099
INDONESIA                |ETHIOPIA                 |617922.3329
INDONESIA                |FRANCE                   |286268.0535
INDONESIA                |GERMANY                  |688878.9745
INDONESIA                |INDIA                    |983774.2032
INDONESIA                |INDONESIA                |1079965.8989
INDONESIA                |IRAN                     |806420.0315
INDONESIA                |IRAQ                     |971259.7732
INDONESIA                |JAPAN                    |1265788.3078
INDONESIA                |JORDAN                   |952154.1753
INDONESIA                |KENYA                    |588959.4534
INDONESIA                |MOROCCO                  |814567.3833
INDONESIA                |MOZAMBIQUE               |648654.4746
INDONESIA                |PERU                     |659937.6028
INDONESIA                |ROMANIA                  |796257.9801
INDONESIA                |RUSSIA                   |738194.2875
INDONESIA                |SAUDI ARABIA             |965538.2199
