ALGERIA                  |ALGERIA                  |791155.7043
ALGERIA                  |ARGENTINA                |882251.9024
ALGERIA                  |BRAZIL                   |640880.8222
ALGERIA                  |CANADA                   |556513.0737
ALGERIA                  |CHINA                    |931335.6798
ALGERIA                  |EGYPT                    |753006.5047
ALGERIA                  |ETHIOPIA                 |532696.3725
ALGERIA                  |FRANCE                   |509109.4775
ALGERIA                  |GERMANY                  |333190.8736
ALGERIA                  |INDIA                    |906159.0512
ALGERIA                  |INDONESIA                |803422.1715
ALGERIA                  |IRAN                     |716295.7983
ALGERIA                  |IRAQ                     |481222.7694
ALGERIA                  |JAPAN                    |525065.1371
ALGERIA                  |JORDAN                   |446477.0490
ALGERIA                  |KENYA                    |724318.9668
ALGERIA                  |MOROCCO                  |611418.5094
ALGERIA                  |MOZAMBIQUE               |570291.7721
ALGERIA                  |PERU                     |582412.1949
ALGERIA                  |ROMANIA                  |877675.4156
ALGERIA                  |RUSSIA                   |632184.6098
ALGERIA                  |SAUDI ARABIA             |808610.4443
ALGERIA                  |UNITED KINGDOM           |772873.8520
ALGERIA                  |UNITED STATES            |392701.7907
ALGERIA                  |VIETNAM                  |831906.3194
ARGENTINA                |ALGERIA                  |826275.7340
ARGENTINA                |ARGENTINA                |467303.0034
ARGENTINA                |BRAZIL                   |1039030.0652
ARGENTINA                |CANADA                   |689326.4063
ARGENTINA                |CHINA                    |437397.6210
ARGENTINA                |EGYPT                    |762475.1637
ARGENTINA                |ETHIOPIA                 |739175.2321
ARGENTINA                |FRANCE                   |498744.0282
ARGENTINA                |GERMANY                  |366411.5075
ARGENTINA                |INDIA                    |716071.0638
ARGENTINA                |INDONESIA                |912772.4533
ARGENTINA                |IRAN                     |1022162.4875
ARGENTINA                |IRAQ                     |397477.7816
ARGENTINA                |JAPAN                    |850434.3925
ARGENTINA                |JORDAN                   |516161.8571
ARGENTINA                |KENYA                    |765665.7106
ARGENTINA                |MOROCCO                  |769376.7507
ARGENTINA                |MOZAMBIQUE               |694607.8591
