ALGERIA                  |ALGERIA                  |745487.4681
ALGERIA                  |ARGENTINA                |927906.2346
ALGERIA                  |BRAZIL                   |748550.3222
ALGERIA                  |CANADA                   |556513.0737
ALGERIA                  |CHINA                    |812639.3168
ALGERIA                  |EGYPT                    |730414.3744
ALGERIA                  |ETHIOPIA                 |552123.3080
ALGERIA                  |FRANCE                   |509109.4775
ALGERIA                  |GERMANY                  |372008.1602
ALGERIA                  |INDIA                    |906159.0512
ALGERIA                  |INDONESIA                |734763.1853
ALGERIA                  |IRAN                     |723737.7008
ALGERIA                  |IRAQ                     |472611.7074
ALGERIA                  |JAPAN                    |536164.1038
ALGERIA                  |JORDAN                   |509607.6690
ALGERIA                  |KENYA                    |724318.9668
ALGERIA                  |MOROCCO                  |586411.7682
ALGERIA                  |MOZAMBIQUE               |595185.0761
ALGERIA                  |PERU                     |560634.3942
ALGERIA                  |ROMANIA                  |893846.6948
ALGERIA                  |RUSSIA                   |592772.1458
ALGERIA                  |SAUDI ARABIA             |774968.3732
ALGERIA                  |UNITED KINGDOM           |772873.8520
ALGERIA                  |UNITED STATES            |490084.8619
ALGERIA                  |VIETNAM                  |952882.2625
ARGENTINA                |ALGERIA                  |798491.0300
ARGENTINA                |ARGENTINA                |478372.1398
ARGENTINA                |BRAZIL                   |1038085.0829
ARGENTINA                |CANADA                   |696735.6032
ARGENTINA                |CHINA                    |437397.6210
ARGENTINA                |EGYPT                    |669432.7629
ARGENTINA                |ETHIOPIA                 |739175.2321
ARGENTINA                |FRANCE                   |505637.0382
ARGENTINA                |GERMANY                  |366411.5075
ARGENTINA                |INDIA                    |672143.7383
ARGENTINA                |INDONESIA                |928206.3949
ARGENTINA                |IRAN                     |1087562.2715
ARGENTINA                |IRAQ                     |433938.9884
ARGENTINA                |JAPAN                    |850434.3925
ARGENTINA                |JORDAN                   |516161.8571
ARGENTINA                |KENYA                    |765665.7106
ARGENTINA                |MOROCCO                  |769376.7507
ARGENTINA                |MOZAMBIQUE               |711791.3999
ARGENTINA                |PERU                     |483287.0751
ARGENTINA                |ROMANIA                  |593383.4494
ARGENTINA                |RUSSIA                   |440500.4166
ARGENTINA                |SAUDI ARABIA             |385336.0601
ARGENTINA                |UNITED KINGDOM           |1029581.5861
ARGENTINA                |UNITED STATES            |676030.8162
ARGENTINA                |VIETNAM                  |925680.0424
BRAZIL                   |ALGERIA                  |356585.5616
BRAZIL                   |ARGENTINA                |240927.9332
BRAZIL                   |BRAZIL                   |81834.9470
BRAZIL                   |CANADA                   |337915.2264
BRAZIL                   |CHINA                    |292351.1374
BRAZIL                   |EGYPT                    |178765.0385
BRAZIL                   |ETHIOPIA                 |221753.1743
BRAZIL                   |FRANCE                   |19620.9024
BRAZIL                   |GERMANY                  |194493.5688
BRAZIL                   |INDIA                    |264524.3044
BRAZIL                   |INDONESIA                |243460.8572
BRAZIL                   |IRAN                     |36042.1866
BRAZIL                   |IRAQ                     |112600.7904
BRAZIL                   |JAPAN                    |192651.9577
BRAZIL                   |JORDAN                   |352033.1173
BRAZIL                   |KENYA                    |85481.4516
BRAZIL                   |MOROCCO                  |198968.3086
BRAZIL                   |MOZAMBIQUE               |191811.4774
BRAZIL                   |PERU                     |159904.8121
BRAZIL                   |ROMANIA                  |302351.5195
BRAZIL                   |RUSSIA                   |266841.3034
BRAZIL                   |SAUDI ARABIA             |150700.7006
BRAZIL                   |UNITED KINGDOM           |130345.4376
BRAZIL                   |UNITED STATES            |10626.2112
BRAZIL                   |VIETNAM                  |339058.8930
CANADA                   |ALGERIA                  |536091.8146
CANADA                   |ARGENTINA                |498580.4558
CANADA                   |BRAZIL                   |752768.2488
CANADA                   |CANADA                   |553711.3631
CANADA                   |CHINA                    |473536.0397
CANADA                   |EGYPT                    |532163.6256
CANADA                   |ETHIOPIA                 |405525.1672
CANADA                   |FRANCE                   |258333.2702
CANADA                   |GERMANY                  |255909.4441
CANADA                   |INDIA                    |435397.0844
CANADA                   |INDONESIA                |446895.6529
CANADA                   |IRAN                     |497786.6042
CANADA                   |IRAQ                     |472634.0297
CANADA                   |JAPAN                    |563284.4602
CANADA                   |JORDAN                   |470499.7457
CANADA                   |KENYA                    |441309.2460
CANADA                   |MOROCCO                  |445560.8743
CANADA                   |MOZAMBIQUE               |494166.5501
CANADA                   |PERU                     |190307.2541
CANADA                   |ROMANIA                  |554474.7991
CANADA                   |RUSSIA                   |385352.2276
CANADA                   |SAUDI ARABIA             |213854.3863
CANADA                   |UNITED KINGDOM           |388297.1364
CANADA                   |UNITED STATES            |172766.3858
CANADA                   |VIETNAM                  |640627.1506
CHINA                    |ALGERIA                  |1111916.0653
CHINA                    |ARGENTINA                |1112889.5198
CHINA                    |BRAZIL                   |1553808.6598
CHINA                    |CANADA                   |1807427.6133
CHINA                    |CHINA                    |1056850.4122
CHINA                    |EGYPT                    |1135566.4536
CHINA                    |ETHIOPIA                 |746819.9550
CHINA                    |FRANCE                   |802049.0132
CHINA                    |GERMANY                  |690840.6403
CHINA                    |INDIA                    |1275463.4595
CHINA                    |INDONESIA                |1338703.2327
CHINA                    |IRAN                     |1288515.5915
CHINA                    |IRAQ                     |864934.3629
CHINA                    |JAPAN                    |1175532.9656
CHINA                    |JORDAN                   |951023.4023
CHINA                    |KENYA                    |1032164.4066
CHINA                    |MOROCCO                  |1271436.1843
CHINA                    |MOZAMBIQUE               |1298117.8965
CHINA                    |PERU                     |889102.4016
CHINA                    |ROMANIA                  |1115255.1048
CHINA                    |RUSSIA                   |834483.7601
CHINA                    |SAUDI ARABIA             |1549808.0880
CHINA                    |UNITED KINGDOM           |1008255.5371
CHINA                    |UNITED STATES            |631850.6453
CHINA                    |VIETNAM                  |1009185.4690
EGYPT                    |ALGERIA                  |808754.0552
EGYPT                    |ARGENTINA                |685747.6929
EGYPT                    |BRAZIL                   |1230151.8472
EGYPT                    |CANADA                   |1020427.7322
EGYPT                    |CHINA                    |689574.1577
EGYPT                    |EGYPT                    |1149358.8351
EGYPT                    |ETHIOPIA                 |836655.3404
EGYPT                    |FRANCE                   |310532.9225
EGYPT                    |GERMANY                  |682433.7253
EGYPT                    |INDIA                    |1209270.9656
EGYPT                    |INDONESIA                |879613.8970
EGYPT                    |IRAN                     |1178069.3190
EGYPT                    |IRAQ                     |491025.3871
EGYPT                    |JAPAN                    |954844.1211
EGYPT                    |JORDAN                   |966276.5348
EGYPT                    |KENYA                    |640402.4923
EGYPT                    |MOROCCO                  |893879.4560
EGYPT                    |MOZAMBIQUE               |798052.9911
EGYPT                    |PERU                     |464514.0536
EGYPT                    |ROMANIA                  |535063.4698
EGYPT                    |RUSSIA                   |599750.3902
EGYPT                    |SAUDI ARABIA             |669054.4160
EGYPT                    |UNITED KINGDOM           |1236607.7158
EGYPT                    |UNITED STATES            |373876.6741
EGYPT                    |VIETNAM                  |542003.8298
ETHIOPIA                 |ALGERIA                  |761497.6154
ETHIOPIA                 |ARGENTINA                |925260.1471
ETHIOPIA                 |BRAZIL                   |1039315.2743
ETHIOPIA                 |CANADA                   |659383.9140
ETHIOPIA                 |CHINA                    |478132.7124
ETHIOPIA                 |EGYPT                    |599918.6834
ETHIOPIA                 |ETHIOPIA                 |735800.1776
ETHIOPIA                 |FRANCE                   |458153.8699
ETHIOPIA                 |GERMANY                  |572167.6434
ETHIOPIA                 |INDIA                    |695854.1306
ETHIOPIA                 |INDONESIA                |373275.0443
ETHIOPIA                 |IRAN                     |713408.5401
ETHIOPIA                 |IRAQ                     |444142.7974
ETHIOPIA                 |JAPAN                    |606006.7289
ETHIOPIA                 |JORDAN                   |684361.5147
ETHIOPIA                 |KENYA                    |592965.0091
ETHIOPIA                 |MOROCCO                  |1171737.3445
ETHIOPIA                 |MOZAMBIQUE               |291753.1002
ETHIOPIA                 |PERU                     |451785.0725
ETHIOPIA                 |ROMANIA                  |882365.9956
ETHIOPIA                 |RUSSIA                   |665373.5395
ETHIOPIA                 |SAUDI ARABIA             |456930.2663
ETHIOPIA                 |UNITED KINGDOM           |811671.8363
ETHIOPIA                 |UNITED STATES            |211112.6016
ETHIOPIA                 |VIETNAM                  |557783.9857
FRANCE                   |ALGERIA                  |391043.6374
FRANCE                   |ARGENTINA                |298529.3231
FRANCE                   |BRAZIL                   |306719.5121
FRANCE                   |CANADA                   |107195.0138
FRANCE                   |CHINA                    |34676.0344
FRANCE                   |EGYPT                    |126886.1724
FRANCE                   |ETHIOPIA                 |369298.5438
FRANCE                   |FRANCE                   |120537.7759
FRANCE                   |GERMANY                  |154119.1338
FRANCE                   |INDIA                    |402614.6546
FRANCE                   |INDONESIA                |151225.0646
FRANCE                   |IRAN                     |133482.1664
FRANCE                   |IRAQ                     |47904.6720
FRANCE                   |JAPAN                    |116305.3136
FRANCE                   |JORDAN                   |224845.0326
FRANCE                   |KENYA                    |65611.8652
FRANCE                   |MOROCCO                  |395345.7483
FRANCE                   |MOZAMBIQUE               |128170.6804
FRANCE                   |PERU                     |135930.2412
FRANCE                   |ROMANIA                  |120762.3051
FRANCE                   |RUSSIA                   |158927.5868
FRANCE                   |SAUDI ARABIA             |393590.2978
FRANCE                   |UNITED KINGDOM           |215839.7039
FRANCE                   |UNITED STATES            |143636.9408
FRANCE                   |VIETNAM                  |182130.0645
GERMANY                  |ALGERIA                  |1260144.9876
GERMANY                  |ARGENTINA                |856113.9544
GERMANY                  |BRAZIL                   |1015720.2445
GERMANY                  |CANADA                   |910101.5501
GERMANY                  |CHINA                    |815506.7407
GERMANY                  |EGYPT                    |1154877.2493
GERMANY                  |ETHIOPIA                 |840541.7109
GERMANY                  |FRANCE                   |746026.3327
GERMANY                  |GERMANY                  |668695.4205
GERMANY                  |INDIA                    |821323.3826
GERMANY                  |INDONESIA                |994167.6937
GERMANY                  |IRAN                     |1376554.7845
GERMANY                  |IRAQ                     |772792.9965
GERMANY                  |JAPAN                    |843453.6795
GERMANY                  |JORDAN                   |1114012.5990
GERMANY                  |KENYA                    |864842.2931
GERMANY                  |MOROCCO                  |638777.2799
GERMANY                  |MOZAMBIQUE               |848757.3658
GERMANY                  |PERU                     |363825.1033
GERMANY                  |ROMANIA                  |943810.6173
GERMANY                  |RUSSIA                   |916272.2936
GERMANY                  |SAUDI ARABIA             |1137912.2992
GERMANY                  |UNITED KINGDOM           |1514641.4101
GERMANY                  |UNITED STATES            |541039.0229
GERMANY                  |VIETNAM                  |1020544.0622
INDIA                    |ALGERIA                  |1503251.5650
INDIA                    |ARGENTINA                |1023787.4888
INDIA                    |BRAZIL                   |1311196.4637
INDIA                    |CANADA                   |1043136.2172
INDIA                    |CHINA                    |1269254.7136
INDIA                    |EGYPT                    |1154658.9441
INDIA                    |ETHIOPIA                 |1181068.5648
INDIA                    |FRANCE                   |865018.5457
INDIA                    |GERMANY                  |870159.3036
INDIA                    |INDIA                    |1238981.4786
INDIA                    |INDONESIA                |1025420.7776
INDIA                    |IRAN                     |1221919.7928
INDIA                    |IRAQ                     |620281.5531
INDIA                    |JAPAN                    |859608.0379
INDIA                    |JORDAN                   |811789.7566
INDIA                    |KENYA                    |763203.5777
INDIA                    |MOROCCO                  |1574571.1732
INDIA                    |MOZAMBIQUE               |937929.8635
INDIA                    |PERU                     |1033577.1646
INDIA                    |ROMANIA                  |1183807.4543
INDIA                    |RUSSIA                   |1162652.8648
INDIA                    |SAUDI ARABIA             |1080277.3693
INDIA                    |UNITED KINGDOM           |1288869.9192
INDIA                    |UNITED STATES            |430717.6992
INDIA                    |VIETNAM                  |1576530.5356
INDONESIA                |ALGERIA                  |1276024.0965
INDONESIA                |ARGENTINA                |1320965.6089
INDONESIA                |BRAZIL                   |959114.5307
INDONESIA                |CANADA                   |455804.5984
INDONESIA                |CHINA                    |1056739.0974
INDONESIA                |EGYPT                    |1035177.4086
INDONESIA                |ETHIOPIA                 |909664.8728
INDONESIA                |FRANCE                   |607208.8550
INDONESIA                |GERMANY                  |569805.0151
INDONESIA                |INDIA                    |1101988.3331
INDONESIA                |INDONESIA                |1284895.1770
INDONESIA                |IRAN                     |896091.7560
INDONESIA                |IRAQ                     |618104.9331
INDONESIA                |JAPAN                    |967358.5980
INDONESIA                |JORDAN                   |864588.0866
