ALGERIA                  |ALGERIA                  |742542.6603
ALGERIA                  |ARGENTINA                |828641.7317
ALGERIA                  |BRAZIL                   |843545.8186
ALGERIA                  |CANADA                   |571138.4088
ALGERIA                  |CHINA                    |713992.9534
ALGERIA                  |EGYPT                    |777157.8967
ALGERIA                  |ETHIOPIA                 |875042.0979
ALGERIA                  |FRANCE                   |261213.8492
ALGERIA                  |GERMANY                  |321758.5227
ALGERIA                  |INDIA                    |655316.1765
ALGERIA                  |INDONESIA                |845208.1178
ALGERIA                  |IRAN                     |706302.2200
ALGERIA                  |IRAQ                     |703507.2200
ALGERIA                  |JAPAN                    |789249.9506
ALGERIA                  |JORDAN                   |728708.7936
ALGERIA                  |KENYA                    |597109.4935
ALGERIA                  |MOROCCO                  |777832.3851
ALGERIA                  |MOZAMBIQUE               |806832.3111
ALGERIA                  |PERU                     |576131.4515
ALGERIA                  |ROMANIA                  |720375.4278
ALGERIA                  |RUSSIA                   |553916.0831
ALGERIA                  |SAUDI ARABIA             |918008.8630
ALGERIA                  |UNITED KINGDOM           |1057938.6244
ALGERIA                  |UNITED STATES            |749867.3306
ALGERIA                  |VIETNAM                  |636319.5458
ARGENTINA                |ALGERIA                  |668809.4839
ARGENTINA                |ARGENTINA                |356101.4939
ARGENTINA                |BRAZIL                   |881852.6755
ARGENTINA                |CANADA                   |681501.5707
ARGENTINA                |CHINA                    |243189.9579
ARGENTINA                |EGYPT                    |819262.6837
ARGENTINA                |ETHIOPIA                 |655520.8386
ARGENTINA                |FRANCE                   |224565.4569
ARGENTINA                |GERMANY                  |469191.9155
ARGENTINA                |INDIA                    |596889.9080
ARGENTINA                |INDONESIA                |780450.2912
ARGENTINA                |IRAN                     |950322.6108
ARGENTINA                |IRAQ                     |489336.3066
ARGENTINA                |JAPAN                    |711127.5469
ARGENTINA                |JORDAN                   |655811.2528
ARGENTINA                |KENYA                    |633869.9812
ARGENTINA                |MOROCCO                  |583054.6477
ARGENTINA                |MOZAMBIQUE               |537785.8039
ARGENTINA                |PERU                     |540049.0302
ARGENTINA                |ROMANIA                  |616651.3810
ARGENTINA                |RUSSIA                   |385566.3314
ARGENTINA                |SAUDI ARABIA             |759922.6650
ARGENTINA                |UNITED KINGDOM           |1050696.4120
ARGENTINA                |UNITED STATES            |513350.2495
ARGENTINA                |VIETNAM                  |768225.7042
BRAZIL                   |ALGERIA                  |347644.3384
BRAZIL                   |ARGENTINA                |316363.3126
BRAZIL                   |BRAZIL                   |157479.7568
BRAZIL                   |CANADA                   |335017.9422
BRAZIL                   |CHINA                    |173689.2876
BRAZIL                   |EGYPT                    |265131.2023
BRAZIL                   |ETHIOPIA                 |65094.5808
BRAZIL                   |FRANCE                   |20611.9872
BRAZIL                   |GERMANY                  |247205.9494
BRAZIL                   |INDIA                    |206854.7477
BRAZIL                   |INDONESIA                |159405.1751
BRAZIL                   |IRAN                     |269013.4213
BRAZIL                   |IRAQ                     |182476.1928
BRAZIL                   |JAPAN                    |218654.4479
BRAZIL                   |JORDAN                   |335527.2517
BRAZIL                   |KENYA                    |78256.4484
BRAZIL                   |MOROCCO                  |257476.5737
BRAZIL                   |MOZAMBIQUE               |200969.0262
BRAZIL                   |PERU                     |219033.3183
BRAZIL                   |ROMANIA                  |240699.4753
BRAZIL                   |RUSSIA                   |142849.1074
BRAZIL                   |SAUDI ARABIA             |234936.4420
BRAZIL                   |UNITED KINGDOM           |246171.6970
BRAZIL                   |VIETNAM                  |230372.1786
CANADA                   |ALGERIA                  |593671.8699
CANADA                   |ARGENTINA                |389353.3818
CANADA                   |BRAZIL                   |841409.5070
CANADA                   |CANADA                   |516443.3520
CANADA                   |CHINA                    |502744.7002
CANADA                   |EGYPT                    |665630.3972
CANADA                   |ETHIOPIA                 |478754.3720
CANADA                   |FRANCE                   |194510.4597
CANADA                   |GERMANY                  |259115.6626
CANADA                   |INDIA                    |507057.7002
CANADA                   |INDONESIA                |597018.5551
CANADA                   |IRAN                     |511471.6207
CANADA                   |IRAQ                     |520059.6721
CANADA                   |JAPAN                    |545230.4031
CANADA                   |JORDAN                   |763842.8271
CANADA                   |KENYA                    |486193.5750
CANADA                   |MOROCCO                  |358835.7943
CANADA                   |MOZAMBIQUE               |503841.7847
CANADA                   |PERU                     |366651.5971
CANADA                   |ROMANIA                  |370946.5034
CANADA                   |RUSSIA                   |340617.5967
CANADA                   |SAUDI ARABIA             |250988.1935
CANADA                   |UNITED KINGDOM           |447478.7282
