ALGERIA                  |ALGERIA                  |742542.6603
ALGERIA                  |ARGENTINA                |822104.4233
ALGERIA                  |BRAZIL                   |772687.0343
ALGERIA                  |CANADA                   |511996.2796
ALGERIA                  |CHINA                    |713992.9534
ALGERIA                  |EGYPT                    |729033.7279
ALGERIA                  |ETHIOPIA                 |812522.7045
ALGERIA                  |FRANCE                   |261213.8492
ALGERIA                  |GERMANY                  |321758.5227
ALGERIA                  |INDIA                    |633547.7461
ALGERIA                  |INDONESIA                |770173.4168
ALGERIA                  |IRAN                     |525312.3092
ALGERIA                  |IRAQ                     |668351.0262
ALGERIA                  |JAPAN                    |723871.3506
ALGERIA                  |JORDAN                   |642315.2789
ALGERIA                  |KENYA                    |597109.4935
ALGERIA                  |MOROCCO                  |777832.3851
ALGERIA                  |MOZAMBIQUE               |759751.5315
ALGERIA                  |PERU                     |457385.9533
ALGERIA                  |ROMANIA                  |720375.4278
ALGERIA                  |RUSSIA                   |491275.5863
ALGERIA                  |SAUDI ARABIA             |840094.7446
ALGERIA                  |UNITED KINGDOM           |1045448.5756
ALGERIA                  |UNITED STATES            |749867.3306
ALGERIA                  |VIETNAM                  |636319.5458
ARGENTINA                |ALGERIA                  |668809.4839
ARGENTINA                |ARGENTINA                |294380.8679
ARGENTINA                |BRAZIL                   |794846.7007
ARGENTINA                |CANADA                   |661018.7083
ARGENTINA                |CHINA                    |243189.9579
ARGENTINA                |EGYPT                    |770189.3317
ARGENTINA                |ETHIOPIA                 |655520.8386
ARGENTINA                |FRANCE                   |201841.0209
ARGENTINA                |GERMANY                  |425342.9543
ARGENTINA                |INDIA                    |552360.3502
ARGENTINA                |INDONESIA                |780450.2912
ARGENTINA                |IRAN                     |867018.5928
ARGENTINA                |IRAQ                     |406952.3566
ARGENTINA                |JAPAN                    |700583.8021
ARGENTINA                |JORDAN                   |600382.6288
ARGENTINA                |KENYA                    |633869.9812
ARGENTINA                |MOROCCO                  |524401.7755
ARGENTINA                |MOZAMBIQUE               |537785.8039
ARGENTINA                |PERU                     |504465.0636
